,City,January,February,March,April,May,June,July,August,September,October,November,December
0,Boston,30.58,33.5,38.52,53.4,60.87,71.63,80.19,76.55,67.73,58.06,43.37,36.0
1,Chicago,22.45,28.89,35.58,48.63,57.29,67.9,79.13,76.26,71.97,55.9,37.07,36.58
2,Cleveland,24.71,31.54,34.26,49.83,60.61,69.3,78.35,74.32,70.17,58.03,37.7,36.32
3,Denver,32.39,31.75,39.9,53.37,55.68,69.17,78.06,76.9,71.67,47.68,40.3,34.77
4,Houston,52.0,60.36,63.9,73.67,82.55,87.6,87.87,89.74,85.7,75.9,63.2,60.61
5,Los Angeles,58.42,54.86,66.23,71.33,69.0,76.87,82.52,84.39,80.8,78.52,70.87,61.71
6,Miami,68.81,74.64,74.97,79.57,82.77,85.77,85.94,86.39,82.63,82.58,76.97,75.13
7,New York,33.58,37.11,42.06,56.37,64.68,74.1,81.65,78.0,71.77,62.16,46.07,41.0
8,San Francisco,52.9,50.71,56.55,63.5,61.81,70.2,68.9,71.29,69.53,66.29,60.87,54.48
9,Seattle,44.68,36.61,50.29,54.97,65.77,68.43,72.87,74.03,64.83,53.23,47.8,43.45
